Product ID,Name,Market,Price USD,Features,Energy Integration,Value Proposition
PRODUCT_036,"Alexandria Research Suite v36",research,$1950,"Data export formats; Peer review ready",Tracks 1.4 kWh per unit,"Purpose-built energy solution for research organizations"
PRODUCT_037,"Alexandria Research Suite v37",research,$2000,"Data export formats; Peer review ready; Citation support",Tracks 1.5 kWh per unit,"Purpose-built energy solution for research organizations"
PRODUCT_038,"Alexandria Research Suite v38",research,$2050,"Data export formats; Peer review ready; Citation support; Open data API",Tracks 1.6 kWh per unit,"Purpose-built energy solution for research organizations"
PRODUCT_039,"Alexandria Research Suite v39",research,$2100,"Data export formats; Peer review ready",Tracks 1.7 kWh per unit,"Purpose-built energy solution for research organizations"
PRODUCT_040,"Alexandria Renewable Suite v40",renewable,$2500,"Solar integration; Wind integration",Tracks 0.5 kWh per unit,"Purpose-built energy solution for renewable organizations"
PRODUCT_041,"Alexandria Renewable Suite v41",renewable,$2550,"Solar integration; Wind integration; Grid balancing",Tracks 0.6 kWh per unit,"Purpose-built energy solution for renewable organizations"
PRODUCT_042,"Alexandria Renewable Suite v42",renewable,$2600,"Solar integration; Wind integration; Grid balancing; Carbon tracking",Tracks 0.7 kWh per unit,"Purpose-built energy solution for renewable organizations"
PRODUCT_043,"Alexandria Renewable Suite v43",renewable,$2650,"Solar integration; Wind integration",Tracks 0.8 kWh per unit,"Purpose-built energy solution for renewable organizations"
PRODUCT_044,"Alexandria Renewable Suite v44",renewable,$2700,"Solar integration; Wind integration; Grid balancing",Tracks 0.9 kWh per unit,"Purpose-built energy solution for renewable organizations"
PRODUCT_045,"Alexandria Renewable Suite v45",renewable,$2750,"Solar integration; Wind integration; Grid balancing; Carbon tracking",Tracks 1.0 kWh per unit,"Purpose-built energy solution for renewable organizations"
PRODUCT_046,"Alexandria Renewable Suite v46",renewable,$2800,"Solar integration; Wind integration",Tracks 1.1 kWh per unit,"Purpose-built energy solution for renewable organizations"
PRODUCT_047,"Alexandria Renewable Suite v47",renewable,$2850,"Solar integration; Wind integration; Grid balancing",Tracks 1.2 kWh per unit,"Purpose-built energy solution for renewable organizations"
PRODUCT_048,"Alexandria Renewable Suite v48",renewable,$2900,"Solar integration; Wind integration; Grid balancing; Carbon tracking",Tracks 1.3 kWh per unit,"Purpose-built energy solution for renewable organizations"
PRODUCT_049,"Alexandria Renewable Suite v49",renewable,$2950,"Solar integration; Wind integration",Tracks 1.4 kWh per unit,"Purpose-built energy solution for renewable organizations"
PRODUCT_050,"Alexandria Renewable Suite v50",renewable,$3000,"Solar integration; Wind integration; Grid balancing",Tracks 1.5 kWh per unit,"Purpose-built energy solution for renewable organizations"
PRODUCT_051,"Alexandria Renewable Suite v51",renewable,$3050,"Solar integration; Wind integration; Grid balancing; Carbon tracking",Tracks 1.6 kWh per unit,"Purpose-built energy solution for renewable organizations"
PRODUCT_052,"Alexandria Renewable Suite v52",renewable,$3100,"Solar integration; Wind integration",Tracks 1.7 kWh per unit,"Purpose-built energy solution for renewable organizations"
PRODUCT_053,"Alexandria Crypto Suite v53",crypto,$2800,"Blockchain integration; Smart contracts",Tracks 0.5 kWh per unit,"Purpose-built energy solution for crypto organizations"
PRODUCT_054,"Alexandria Crypto Suite v54",crypto,$2850,"Blockchain integration; Smart contracts; Wallet integration",Tracks 0.6 kWh per unit,"Purpose-built energy solution for crypto organizations"
PRODUCT_055,"Alexandria Crypto Suite v55",crypto,$2900,"Blockchain integration; Smart contracts; Wallet integration; Exchange APIs",Tracks 0.7 kWh per unit,"Purpose-built energy solution for crypto organizations"
PRODUCT_056,"Alexandria Crypto Suite v56",crypto,$2950,"Blockchain integration; Smart contracts",Tracks 0.8 kWh per unit,"Purpose-built energy solution for crypto organizations"
PRODUCT_057,"Alexandria Crypto Suite v57",crypto,$3000,"Blockchain integration; Smart contracts; Wallet integration",Tracks 0.9 kWh per unit,"Purpose-built energy solution for crypto organizations"
PRODUCT_058,"Alexandria Crypto Suite v58",crypto,$3050,"Blockchain integration; Smart contracts; Wallet integration; Exchange APIs",Tracks 1.0 kWh per unit,"Purpose-built energy solution for crypto organizations"
PRODUCT_059,"Alexandria Crypto Suite v59",crypto,$3100,"Blockchain integration; Smart contracts",Tracks 1.1 kWh per unit,"Purpose-built energy solution for crypto organizations"
PRODUCT_060,"Alexandria Crypto Suite v60",crypto,$3150,"Blockchain integration; Smart contracts; Wallet integration",Tracks 1.2 kWh per unit,"Purpose-built energy solution for crypto organizations"
PRODUCT_061,"Alexandria Crypto Suite v61",crypto,$3200,"Blockchain integration; Smart contracts; Wallet integration; Exchange APIs",Tracks 1.3 kWh per unit,"Purpose-built energy solution for crypto organizations"
PRODUCT_062,"Alexandria Crypto Suite v62",crypto,$3250,"Blockchain integration; Smart contracts",Tracks 1.4 kWh per unit,"Purpose-built energy solution for crypto organizations"
PRODUCT_063,"Alexandria Crypto Suite v63",crypto,$3300,"Blockchain integration; Smart contracts; Wallet integration",Tracks 1.5 kWh per unit,"Purpose-built energy solution for crypto organizations"
PRODUCT_064,"Alexandria Crypto Suite v64",crypto,$3350,"Blockchain integration; Smart contracts; Wallet integration; Exchange APIs",Tracks 1.6 kWh per unit,"Purpose-built energy solution for crypto organizations"
PRODUCT_065,"Alexandria Crypto Suite v65",crypto,$3400,"Blockchain integration; Smart contracts",Tracks 1.7 kWh per unit,"Purpose-built energy solution for crypto organizations"
PRODUCT_066,"Alexandria Startup Suite v66",startup,$1200,"Scalable infrastructure; Cost optimization",Tracks 0.5 kWh per unit,"Purpose-built energy solution for startup organizations"
PRODUCT_067,"Alexandria Startup Suite v67",startup,$1250,"Scalable infrastructure; Cost optimization; Performance analytics",Tracks 0.6 kWh per unit,"Purpose-built energy solution for startup organizations"
PRODUCT_068,"Alexandria Startup Suite v68",startup,$1300,"Scalable infrastructure; Cost optimization; Performance analytics; Growth tracking",Tracks 0.7 kWh per unit,"Purpose-built energy solution for startup organizations"
PRODUCT_069,"Alexandria Startup Suite v69",startup,$1350,"Scalable infrastructure; Cost optimization",Tracks 0.8 kWh per unit,"Purpose-built energy solution for startup organizations"
PRODUCT_070,"Alexandria Startup Suite v70",startup,$1400,"Scalable infrastructure; Cost optimization; Performance analytics",Tracks 0.9 kWh per unit,"Purpose-built energy solution for startup organizations"
PRODUCT_071,"Alexandria Startup Suite v71",startup,$1450,"Scalable infrastructure; Cost optimization; Performance analytics; Growth tracking",Tracks 1.0 kWh per unit,"Purpose-built energy solution for startup organizations"
PRODUCT_072,"Alexandria Startup Suite v72",startup,$1500,"Scalable infrastructure; Cost optimization",Tracks 1.1 kWh per unit,"Purpose-built energy solution for startup organizations"
PRODUCT_073,"Alexandria Startup Suite v73",startup,$1550,"Scalable infrastructure; Cost optimization; Performance analytics",Tracks 1.2 kWh per unit,"Purpose-built energy solution for startup organizations"
PRODUCT_074,"Alexandria Startup Suite v74",startup,$1600,"Scalable infrastructure; Cost optimization; Performance analytics; Growth tracking",Tracks 1.3 kWh per unit,"Purpose-built energy solution for startup organizations"
PRODUCT_075,"Alexandria Startup Suite v75",startup,$1650,"Scalable infrastructure; Cost optimization",Tracks 1.4 kWh per unit,"Purpose-built energy solution for startup organizations"
PRODUCT_076,"Alexandria Startup Suite v76",startup,$1700,"Scalable infrastructure; Cost optimization; Performance analytics",Tracks 1.5 kWh per unit,"Purpose-built energy solution for startup organizations"
PRODUCT_077,"Alexandria Startup Suite v77",startup,$1750,"Scalable infrastructure; Cost optimization; Performance analytics; Growth tracking",Tracks 1.6 kWh per unit,"Purpose-built energy solution for startup organizations"
PRODUCT_078,"Alexandria Startup Suite v78",startup,$1800,"Scalable infrastructure; Cost optimization",Tracks 1.7 kWh per unit,"Purpose-built energy solution for startup organizations"
PRODUCT_079,"Alexandria Government Suite v79",government,$4000,"Compliance reporting; Audit trails",Tracks 0.5 kWh per unit,"Purpose-built energy solution for government organizations"
PRODUCT_080,"Alexandria Government Suite v80",government,$4050,"Compliance reporting; Audit trails; Security hardened",Tracks 0.6 kWh per unit,"Purpose-built energy solution for government organizations"
PRODUCT_081,"Alexandria Government Suite v81",government,$4100,"Compliance reporting; Audit trails; Security hardened; Data sovereignty",Tracks 0.7 kWh per unit,"Purpose-built energy solution for government organizations"
PRODUCT_082,"Alexandria Government Suite v82",government,$4150,"Compliance reporting; Audit trails",Tracks 0.8 kWh per unit,"Purpose-built energy solution for government organizations"
PRODUCT_083,"Alexandria Government Suite v83",government,$4200,"Compliance reporting; Audit trails; Security hardened",Tracks 0.9 kWh per unit,"Purpose-built energy solution for government organizations"
PRODUCT_084,"Alexandria Government Suite v84",government,$4250,"Compliance reporting; Audit trails; Security hardened; Data sovereignty",Tracks 1.0 kWh per unit,"Purpose-built energy solution for government organizations"
PRODUCT_085,"Alexandria Government Suite v85",government,$4300,"Compliance reporting; Audit trails",Tracks 1.1 kWh per unit,"Purpose-built energy solution for government organizations"
PRODUCT_086,"Alexandria Government Suite v86",government,$4350,"Compliance reporting; Audit trails; Security hardened",Tracks 1.2 kWh per unit,"Purpose-built energy solution for government organizations"
PRODUCT_087,"Alexandria Government Suite v87",government,$4400,"Compliance reporting; Audit trails; Security hardened; Data sovereignty",Tracks 1.3 kWh per unit,"Purpose-built energy solution for government organizations"
PRODUCT_088,"Alexandria Government Suite v88",government,$4450,"Compliance reporting; Audit trails",Tracks 1.4 kWh per unit,"Purpose-built energy solution for government organizations"
PRODUCT_089,"Alexandria Government Suite v89",government,$4500,"Compliance reporting; Audit trails; Security hardened",Tracks 1.5 kWh per unit,"Purpose-built energy solution for government organizations"
PRODUCT_090,"Alexandria Government Suite v90",government,$4550,"Compliance reporting; Audit trails; Security hardened; Data sovereignty",Tracks 1.6 kWh per unit,"Purpose-built energy solution for government organizations"
PRODUCT_091,"Alexandria Government Suite v91",government,$4600,"Compliance reporting; Audit trails",Tracks 1.7 kWh per unit,"Purpose-built energy solution for government organizations"
PRODUCT_092,"Alexandria Nonprofit Suite v92",nonprofit,$800,"Grant tracking; Impact metrics",Tracks 0.5 kWh per unit,"Purpose-built energy solution for nonprofit organizations"
PRODUCT_093,"Alexandria Nonprofit Suite v93",nonprofit,$850,"Grant tracking; Impact metrics; Donor dashboards",Tracks 0.6 kWh per unit,"Purpose-built energy solution for nonprofit organizations"
PRODUCT_094,"Alexandria Nonprofit Suite v94",nonprofit,$900,"Grant tracking; Impact metrics; Donor dashboards; Transparency reporting",Tracks 0.7 kWh per unit,"Purpose-built energy solution for nonprofit organizations"
PRODUCT_095,"Alexandria Nonprofit Suite v95",nonprofit,$950,"Grant tracking; Impact metrics",Tracks 0.8 kWh per unit,"Purpose-built energy solution for nonprofit organizations"
PRODUCT_096,"Alexandria Nonprofit Suite v96",nonprofit,$1000,"Grant tracking; Impact metrics; Donor dashboards",Tracks 0.9 kWh per unit,"Purpose-built energy solution for nonprofit organizations"
PRODUCT_097,"Alexandria Nonprofit Suite v97",nonprofit,$1050,"Grant tracking; Impact metrics; Donor dashboards; Transparency reporting",Tracks 1.0 kWh per unit,"Purpose-built energy solution for nonprofit organizations"
PRODUCT_098,"Alexandria Nonprofit Suite v98",nonprofit,$1100,"Grant tracking; Impact metrics",Tracks 1.1 kWh per unit,"Purpose-built energy solution for nonprofit organizations"
PRODUCT_099,"Alexandria Nonprofit Suite v99",nonprofit,$1150,"Grant tracking; Impact metrics; Donor dashboards",Tracks 1.2 kWh per unit,"Purpose-built energy solution for nonprofit organizations"
PRODUCT_100,"Alexandria Nonprofit Suite v100",nonprofit,$1200,"Grant tracking; Impact metrics; Donor dashboards; Transparency reporting",Tracks 1.3 kWh per unit,"Purpose-built energy solution for nonprofit organizations"
PRODUCT_101,"Alexandria Nonprofit Suite v101",nonprofit,$1250,"Grant tracking; Impact metrics",Tracks 1.4 kWh per unit,"Purpose-built energy solution for nonprofit organizations"
PRODUCT_102,"Alexandria Nonprofit Suite v102",nonprofit,$1300,"Grant tracking; Impact metrics; Donor dashboards",Tracks 1.5 kWh per unit,"Purpose-built energy solution for nonprofit organizations"
PRODUCT_103,"Alexandria Nonprofit Suite v103",nonprofit,$1350,"Grant tracking; Impact metrics; Donor dashboards; Transparency reporting",Tracks 1.6 kWh per unit,"Purpose-built energy solution for nonprofit organizations"
